timestamp,step,recon_loss,token_acc,exact_match,em_ema,lr,elapsed_hours,analogy_avg,clustering_gap,direction_consistency,word_order_sim,effective_rank90,effective_rank95,fr_loss,fr_token_acc,es_loss,es_token_acc,para_loss,para_token_acc,parse_loss,parse_token_acc,geo_scale,wo_loss,hrepul_loss,brepul_loss
2026-03-10T21:34:10.699076,500,6.621985,0.2532,0.0000,0.0000,5.000000e-05,0.0119,0.9690,0.0287,0.2341,0.9974,3,5,8.992156,0.2326,8.622701,0.1667,8.074904,0.0000,7.289918,0.4030,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:34:51.736191,1000,5.806431,0.2722,0.0000,0.0000,1.000000e-04,0.0233,0.8947,0.0628,0.1500,0.9891,5,6,6.926026,0.3256,6.705721,0.3333,5.609361,0.0000,3.723396,0.6119,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:35:30.525471,1500,5.564202,0.2785,0.0000,0.0000,1.500000e-04,0.0341,0.8147,0.0039,0.1947,0.9773,5,6,6.698256,0.3256,6.521736,0.4444,5.181693,0.0000,3.123752,0.6119,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:36:10.321907,2000,5.344528,0.2785,0.0000,0.0000,2.000000e-04,0.0451,0.7946,0.0341,0.2437,0.9882,6,7,6.623220,0.3256,6.366284,0.3611,5.022007,0.0000,2.921845,0.6866,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:36:54.409855,2500,5.521662,0.2911,0.0000,0.0000,1.999997e-04,0.0574,0.7904,0.0330,0.2839,0.9788,6,8,6.570066,0.3488,6.324573,0.3889,4.897725,0.0000,2.803286,0.7313,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:37:35.448447,3000,5.279747,0.2911,0.0000,0.0000,1.999987e-04,0.0688,0.7457,0.0699,0.3109,0.9745,7,8,6.463733,0.3721,6.241063,0.3889,4.846069,0.0000,2.789390,0.7313,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:38:16.510849,3500,4.891632,0.3101,0.0000,0.0000,1.999971e-04,0.0802,0.6804,0.0760,0.3549,0.9697,8,10,6.429726,0.3488,6.196787,0.3889,4.657278,0.0000,2.659896,0.7015,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:38:58.755289,4000,4.171693,0.4177,0.0000,0.0000,1.999948e-04,0.0919,0.6718,0.0554,0.3044,0.9347,19,27,6.377442,0.4186,6.097871,0.4167,4.678979,0.0000,2.616508,0.7612,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:39:40.125707,4500,3.442168,0.4684,0.0000,0.0000,1.999918e-04,0.1034,0.7166,0.0453,0.3058,0.9349,24,32,6.323680,0.4186,6.081645,0.4167,4.588881,0.0000,2.629236,0.7313,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:40:20.973217,5000,2.632453,0.6076,0.0000,0.0000,1.999882e-04,0.1148,0.7761,0.0390,0.3157,0.9499,23,31,6.300620,0.3953,6.023285,0.4167,4.691019,0.0000,2.604407,0.7164,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:41:06.208942,5500,2.345387,0.6835,0.0000,0.0000,1.999840e-04,0.1273,0.7567,0.0331,0.2807,0.9450,25,34,6.293481,0.4186,6.020690,0.4167,4.624948,0.0000,2.445817,0.7612,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:41:46.967916,6000,2.110341,0.7089,0.1538,0.0015,1.999790e-04,0.1387,0.7709,0.0290,0.3025,0.9546,25,33,6.310696,0.4419,5.972258,0.4444,4.527750,0.0000,2.472496,0.7164,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:42:27.816435,6500,1.792656,0.8038,0.1538,0.0031,1.999735e-04,0.1500,0.8136,0.0310,0.3192,0.9543,26,35,6.274071,0.4186,5.957559,0.4167,4.491767,0.0000,2.383640,0.6567,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:43:09.725528,7000,1.636841,0.8354,0.3846,0.0069,1.999672e-04,0.1616,0.7778,0.0345,0.3252,0.9514,27,35,6.300631,0.3953,5.956572,0.4722,4.550846,0.0000,2.322317,0.7463,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:43:49.018485,7500,1.509023,0.8291,0.3846,0.0107,1.999604e-04,0.1726,0.8416,0.0339,0.2921,0.9468,26,35,6.249316,0.4419,5.928000,0.4722,4.502538,0.0000,2.246631,0.7612,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:44:28.329921,8000,1.400259,0.8671,0.5385,0.0159,1.999528e-04,0.1835,0.8342,0.0304,0.3038,0.9532,27,35,6.218721,0.4419,5.867111,0.4444,4.525566,0.0000,2.254333,0.7164,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:45:07.953558,8500,1.452362,0.8608,0.4615,0.0204,1.999446e-04,0.1945,0.7857,0.0273,0.3014,0.9561,26,35,6.197652,0.4419,5.892821,0.5000,4.447549,0.0000,2.126981,0.7313,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:45:46.688543,9000,1.261002,0.8861,0.6154,0.0263,1.999358e-04,0.2052,0.7909,0.0305,0.3384,0.9531,26,35,6.211518,0.4651,5.871878,0.4167,4.451659,0.0000,2.079671,0.7910,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:46:26.816455,9500,1.241279,0.8544,0.4615,0.0307,1.999263e-04,0.2164,0.8165,0.0287,0.3224,0.9582,27,35,6.148158,0.4419,5.863670,0.4167,4.362166,0.0000,2.053126,0.7313,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:47:05.739189,10000,1.066192,0.8797,0.6154,0.0365,1.999161e-04,0.2272,0.8539,0.0218,0.3137,0.9591,27,36,6.172591,0.4186,5.836341,0.4167,4.376303,0.0000,1.989044,0.7612,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:47:49.529924,10500,1.156042,0.8861,0.6154,0.0423,1.999053e-04,0.2394,0.8283,0.0248,0.3371,0.9581,27,35,6.158947,0.4419,5.798707,0.4722,4.367851,0.0000,1.975789,0.7612,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:48:28.693568,11000,1.070173,0.8987,0.6923,0.0488,1.998939e-04,0.2503,0.8365,0.0233,0.3831,0.9576,27,36,6.144241,0.4419,5.793847,0.4444,4.302609,0.0000,1.930422,0.7164,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:49:07.640074,11500,0.973929,0.9114,0.6923,0.0553,1.998817e-04,0.2611,0.8184,0.0250,0.3803,0.9558,27,36,6.137645,0.4186,5.809653,0.5000,4.227961,0.0000,1.942330,0.7612,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:49:46.447859,12000,1.009707,0.8987,0.7692,0.0624,1.998690e-04,0.2718,0.8226,0.0264,0.3668,0.9657,26,35,6.119620,0.4419,5.785521,0.4167,4.248893,0.0000,1.888137,0.7313,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:50:25.250971,12500,1.013291,0.9177,0.7692,0.0695,1.998555e-04,0.2826,0.8208,0.0218,0.3353,0.9639,26,34,6.104260,0.4186,5.745491,0.3333,4.263757,0.0000,1.826784,0.7761,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:51:04.088727,13000,0.823825,0.8924,0.6923,0.0757,1.998414e-04,0.2934,0.7789,0.0226,0.3603,0.9532,27,35,6.055192,0.3953,5.756866,0.5000,4.227934,0.0000,1.786163,0.8060,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:51:42.675819,13500,1.008121,0.9051,0.6154,0.0811,1.998267e-04,0.3041,0.7751,0.0230,0.3669,0.9551,27,36,6.055492,0.4419,5.732428,0.4167,4.279479,0.0000,1.801971,0.7612,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:52:21.528753,14000,0.921065,0.9114,0.6923,0.0872,1.998113e-04,0.3149,0.8181,0.0223,0.3420,0.9484,27,36,6.035510,0.4186,5.677870,0.5278,4.245673,0.0000,1.726120,0.7463,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:53:00.607451,14500,0.913327,0.9114,0.7692,0.0940,1.997953e-04,0.3258,0.8171,0.0238,0.3710,0.9581,27,35,6.045670,0.4651,5.658895,0.5000,4.179675,0.0000,1.709309,0.7463,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:53:39.476734,15000,0.879607,0.9114,0.7692,0.1008,1.997786e-04,0.3366,0.8443,0.0217,0.3387,0.9545,27,36,6.061433,0.3953,5.635274,0.5000,4.277516,0.0000,1.728634,0.7761,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:54:22.747688,15500,0.834439,0.9051,0.6154,0.1059,1.997612e-04,0.3486,0.8484,0.0222,0.3866,0.9634,27,36,5.997247,0.4419,5.584418,0.4722,4.164594,0.0000,1.608149,0.8507,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:55:01.354846,16000,0.838121,0.9241,0.7692,0.1126,1.997432e-04,0.3593,0.8301,0.0208,0.3396,0.9587,28,36,5.988819,0.4651,5.666305,0.4444,4.220033,0.0000,1.651965,0.8806,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:55:39.644473,16500,0.883720,0.9177,0.6923,0.1184,1.997245e-04,0.3700,0.8487,0.0199,0.3363,0.9570,27,35,5.948654,0.4186,5.565473,0.5000,4.142518,0.0000,1.657309,0.7761,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:56:18.132442,17000,0.824238,0.9177,0.7692,0.1249,1.997052e-04,0.3806,0.8101,0.0220,0.3805,0.9607,26,34,5.923138,0.4186,5.596997,0.4444,4.197896,0.0000,1.611162,0.8209,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:56:56.803290,17500,0.720661,0.9051,0.6154,0.1298,1.996853e-04,0.3914,0.8024,0.0217,0.3725,0.9543,26,34,5.915595,0.4419,5.550495,0.4444,4.098920,0.0000,1.552399,0.7910,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:57:35.475579,18000,0.790673,0.9114,0.6923,0.1354,1.996646e-04,0.4021,0.8477,0.0196,0.3443,0.9555,28,36,5.908203,0.4419,5.595588,0.4167,4.136343,0.0000,1.536025,0.9254,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:58:14.298918,18500,0.800845,0.9494,0.7692,0.1417,1.996434e-04,0.4129,0.8371,0.0236,0.3493,0.9594,27,35,5.916727,0.4651,5.518091,0.4722,4.078345,0.0000,1.499785,0.8209,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:58:52.986808,19000,0.773109,0.9114,0.7692,0.1480,1.996214e-04,0.4237,0.8161,0.0236,0.3588,0.9581,27,36,5.934722,0.4884,5.541634,0.5278,4.045789,0.0000,1.598309,0.8507,0.0000,0.000000,0.000000,0.000000
2026-03-10T21:59:31.959031,19500,0.759518,0.9241,0.6154,0.1527,1.995988e-04,0.4345,0.8354,0.0231,0.3671,0.9535,27,35,5.876835,0.4884,5.485136,0.5000,4.101342,0.0000,1.538789,0.8657,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:00:10.766036,20000,0.772677,0.9241,0.6923,0.1581,1.995756e-04,0.4453,0.8292,0.0207,0.3672,0.9582,26,34,5.889546,0.4186,5.508882,0.4444,4.114323,0.0000,1.497992,0.8358,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:00:54.922716,20500,0.720815,0.9367,0.6923,0.1634,1.995517e-04,0.4575,0.8116,0.0190,0.3776,0.9618,27,35,5.869343,0.4419,5.525093,0.4722,4.046910,0.0000,1.477491,0.7910,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:01:33.838920,21000,0.733755,0.9430,0.6923,0.1687,1.995272e-04,0.4683,0.8232,0.0214,0.3813,0.9584,27,35,5.844405,0.4884,5.465351,0.4444,3.995206,0.0000,1.544334,0.7761,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:02:12.731981,21500,0.721856,0.9494,0.7692,0.1747,1.995020e-04,0.4791,0.8192,0.0220,0.3711,0.9501,28,36,5.877443,0.4419,5.481801,0.4722,4.094467,0.0000,1.414878,0.8507,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:02:51.547999,22000,0.721286,0.9367,0.6923,0.1799,1.994761e-04,0.4899,0.8303,0.0205,0.3689,0.9536,27,35,5.855150,0.4419,5.402079,0.4444,3.974983,0.0000,1.485667,0.7761,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:03:30.346650,22500,0.735879,0.9241,0.7692,0.1858,1.994497e-04,0.5007,0.8094,0.0199,0.3523,0.9499,27,35,5.860957,0.4884,5.438098,0.5278,4.034350,0.0000,1.479372,0.8209,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:04:08.744853,23000,0.725759,0.9430,0.7692,0.1916,1.994225e-04,0.5114,0.8100,0.0174,0.3476,0.9413,27,36,5.852800,0.5116,5.443181,0.4444,4.021419,0.0000,1.375647,0.8806,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:04:47.446557,23500,0.786069,0.9430,0.7692,0.1974,1.993947e-04,0.5221,0.8151,0.0187,0.3336,0.9429,27,35,5.812770,0.4884,5.377751,0.4722,4.003971,0.0000,1.380737,0.8955,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:05:25.832396,24000,1.940200,0.8481,0.4615,0.2000,1.993663e-04,0.5328,0.8333,0.0181,0.2780,0.9318,28,38,6.001118,0.3256,5.617617,0.3056,4.218259,0.0000,1.858282,0.6567,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:06:04.441105,24500,0.902479,0.9114,0.7692,0.2057,1.993372e-04,0.5435,0.7943,0.0239,0.3259,0.9274,28,36,5.871547,0.4186,5.405724,0.4167,4.021240,0.0000,1.474684,0.7313,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:06:43.112731,25000,0.806456,0.9367,0.7692,0.2114,1.993074e-04,0.5543,0.8030,0.0239,0.3464,0.9351,27,36,5.802704,0.4651,5.400431,0.5556,3.940990,0.0000,1.483287,0.7463,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:07:26.649577,25500,0.779734,0.9304,0.7692,0.2169,1.992770e-04,0.5663,0.8327,0.0234,0.3350,0.9429,28,36,5.811365,0.4651,5.377798,0.5278,3.961413,0.0000,1.401522,0.8507,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:08:05.307757,26000,0.702590,0.9430,0.8462,0.2232,1.992459e-04,0.5771,0.8066,0.0233,0.3779,0.9406,28,36,5.797003,0.4419,5.367781,0.5000,3.853263,0.0000,1.303456,0.7910,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:08:43.774653,26500,0.694639,0.9430,0.7692,0.2287,1.992142e-04,0.5878,0.8045,0.0206,0.3722,0.9456,27,36,5.790909,0.4884,5.327006,0.5278,3.922413,0.0000,1.432931,0.8209,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:09:22.337191,27000,0.696237,0.9114,0.8462,0.2349,1.991819e-04,0.5985,0.8375,0.0205,0.3682,0.9512,27,35,5.751657,0.4884,5.318054,0.5833,3.919779,0.0000,1.335850,0.7910,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:10:01.345956,27500,0.672761,0.9304,0.7692,0.2402,1.991489e-04,0.6093,0.8240,0.0209,0.3788,0.9479,28,37,5.754267,0.4651,5.322410,0.4444,3.953507,0.0000,1.291053,0.7313,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:10:40.057764,28000,0.653579,0.9304,0.7692,0.2455,1.991152e-04,0.6201,0.8823,0.0182,0.3771,0.9557,28,36,5.701307,0.5349,5.324646,0.5000,3.947442,0.0000,1.369740,0.7910,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:11:18.994705,28500,0.727612,0.9747,0.8462,0.2515,1.990809e-04,0.6309,0.8092,0.0195,0.3348,0.9556,27,36,5.790578,0.4419,5.324536,0.5278,3.960358,0.0000,1.337241,0.7612,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:11:57.498880,29000,0.528466,0.9241,0.8462,0.2575,1.990460e-04,0.6416,0.7905,0.0197,0.4020,0.9576,27,36,5.734235,0.5116,5.269397,0.5000,3.939952,0.0000,1.276498,0.8060,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:12:35.939451,29500,0.608575,0.9494,0.8462,0.2633,1.990104e-04,0.6523,0.7989,0.0226,0.3447,0.9604,26,35,5.715313,0.4651,5.326457,0.5278,3.856767,0.0000,1.343539,0.7910,0.0000,0.000000,0.000000,0.000000
2026-03-10T22:13:14.805373,30000,0.669794,0.9304,0.7692,0.2684,1.989741e-04,0.6631,0.7912,0.0212,0.3892,0.9506,27,36,5.731998,0.5116,5.296227,0.4444,3.853128,0.0000,1.247308,0.7313,0.0000,0.000000,0.000000,0.000000
